"nombre";"partido"
"Florcita Alarcón Rojas";"Independientes"
"Jorge Alessandri Vergara";"Unión Demócrata Independiente"
"René Alinco Bustos";"Independientes"
"Sebastián Álvarez Ramírez";"Evolución Política"
"Jenny Álvarez Vera";"Partido Socialista"
"Pedro Pablo Alvarez-Salamanca Ramírez";"Unión Demócrata Independiente"
"Sandra Amar Mancilla";"Independientes"
"Gabriel Ascencio Mansilla";"Partido Demócrata Cristiano"
"Pepe Auth Stewart";"Independientes"
"Nino Baltolu Rasera";"Unión Demócrata Independiente"
"Boris Barrera Moreno";"Partido Comunista"
"Ramón Barros Montero";"Unión Demócrata Independiente"
"Bernardo Berger Fett";"Renovación Nacional"
"Alejandro Bernales Maldonado";"Partido Liberal de Chile"
"Karim Bianchi Retamales";"Independientes"
"Sergio Bobadilla Muñoz";"Unión Demócrata Independiente"
"Gabriel Boric Font";"Partido Convergencia Social"
"Jorge Brito Hasbún";"Revolución Democrática"
"Miguel Ángel Calisto Águila";"Partido Demócrata Cristiano"
"Karol Cariola Oliva";"Partido Comunista"
"Álvaro Carter Fernández";"Independientes"
"Loreto Carvajal Ambiado";"Partido Por la Democracia"
"Natalia Castillo Muñoz";"Independientes"
"José Miguel Castro Bascuñán";"Renovación Nacional"
"Juan Luis Castro González";"Partido Socialista"
"Ricardo Celis Araya";"Partido Por la Democracia"
"Andrés Celis Montt";"Renovación Nacional"
"Daniella Cicardini Milla";"Partido Socialista"
"Sofía Cid Versalovic";"Renovación Nacional"
"Juan Antonio Coloma Álamos";"Unión Demócrata Independiente"
"Miguel Crispi Serrano";"Revolución Democrática"
"Luciano Cruz-Coke Carvallo";"Evolución Política"
"Nora Cuevas Contreras";"Unión Demócrata Independiente"
"Catalina Del Real Mihovilovic";"Renovación Nacional"
"Marcelo Díaz Díaz";"Independientes"
"Jorge Durán Espinoza";"Renovación Nacional"
"Eduardo Durán Salinas";"Renovación Nacional"
"Francisco Eguiguren Correa";"Renovación Nacional"
"Fidel Espinoza Sandoval";"Partido Socialista"
"Maya Fernández Allende";"Partido Socialista"
"Iván Flores García";"Partido Demócrata Cristiano"
"Camila Flores Oporto";"Renovación Nacional"
"Tomás Andrés Fuentes Barros";"Renovación Nacional"
"Juan Fuenzalida Cobo";"Unión Demócrata Independiente"
"Gonzalo Fuenzalida Figueroa";"Renovación Nacional"
"Sergio Gahona Salazar";"Unión Demócrata Independiente"
"Ramón Galleguillos Castillo";"Renovación Nacional"
"René Manuel García García";"Renovación Nacional"
"Renato Garín González";"Independientes"
"Cristina Girardi Lavín";"Partido Por la Democracia"
"Félix González Gatica";"Partido Ecologista Verde"
"Rodrigo González Torres";"Partido Por la Democracia"
"Javier Hernández Hernández";"Unión Demócrata Independiente"
"Marcela Hernando Pérez";"Partido Radical de Chile"
"Carmen Hertz Cádiz";"Partido Comunista"
"Tomás Hirsch Goldschmidt";"Independientes"
"María José Hoffmann Opazo";"Unión Demócrata Independiente"
"Diego Ibáñez Cotroneo";"Partido Convergencia Social"
"Marcos Ilabaca Cerda";"Partido Socialista"
"Giorgio Jackson Drago";"Revolución Democrática"
"Carlos Abel Jarpa Wevar";"Independientes"
"Pamela Jiles Moreno";"Partido Humanista"
"Tucapel Jiménez Fuentes";"Partido Por la Democracia"
"Harry Jürgensen Rundshagen";"Renovación Nacional"
"Pablo Kast Sommerhoff";"Evolución Política"
"Sebastián Keitel Bianchi";"Evolución Política"
"Issa Kort Garriga";"Unión Demócrata Independiente"
"Carlos Kuschel Silva";"Renovación Nacional"
"Amaro Labra Sepúlveda";"Partido Comunista"
"Joaquín Lavín León";"Unión Demócrata Independiente"
"Raúl Leiva Carvajal";"Partido Socialista"
"Aracely Leuquén Uribe";"Renovación Nacional"
"Andrés Longton Herrera";"Renovación Nacional"
"Pablo Lorenzini Basso";"Independientes"
"Karin Luck Urban";"Renovación Nacional"
"Javier Macaya Danús";"Unión Demócrata Independiente"
"Carolina Marzán Pinto";"Partido Por la Democracia"
"Manuel Matta Aragay";"Partido Demócrata Cristiano"
"Patricio Melero Abaroa";"Unión Demócrata Independiente"
"Cosme Mellado Pino";"Partido Radical de Chile"
"Miguel Mellado Suazo";"Renovación Nacional"
"Fernando Meza Moncada";"Independientes"
"Vlado Mirosevic Verdugo";"Partido Liberal de Chile"
"Claudia Mix Jiménez";"Partido Comunes"
"Andrés Molina Magofke";"Evolución Política"
"Manuel Monsalve Benavides";"Partido Socialista"
"Celso Morales Muñoz";"Unión Demócrata Independiente"
"Camilo Morán Bahamondes";"Renovación Nacional"
"Cristhian Moreira Barros";"Unión Demócrata Independiente"
"Jaime Mulet Martínez";"Federación Regionalista Verde Social"
"Francesca Muñoz González";"Renovación Nacional"
"Jaime Naranjo Ortiz";"Partido Socialista"
"Nicolás Noman Garrido";"Unión Demócrata Independiente"
"Iván Norambuena Farías";"Unión Demócrata Independiente"
"Daniel Núñez Arancibia";"Partido Comunista"
"Paulina Núñez Urrutia";"Renovación Nacional"
"Emilia Nuyado Ancapichún";"Partido Socialista"
"Erika Olivera De La Fuente";"Independientes"
"Maite Orsini Pascal";"Revolución Democrática"
"José Miguel Ortiz Novoa";"Partido Demócrata Cristiano"
"Ximena Ossandón Irarrázabal";"Renovación Nacional"
"Luis Pardo Sáinz";"Renovación Nacional"
"Andrea Parra Sauterel";"Partido Por la Democracia"
"Diego Paulsen Kehr";"Renovación Nacional"
"José Pérez Arriagada";"Partido Radical de Chile"
"Leopoldo Pérez Lahsen";"Renovación Nacional"
"Joanna Pérez Olea";"Partido Demócrata Cristiano"
"Catalina Pérez Salinas";"Revolución Democrática"
"Pablo Prieto Lorca";"Independientes"
"Guillermo Ramírez Diez";"Unión Demócrata Independiente"
"Jorge Rathgeb Schifferli";"Renovación Nacional"
"Rolando Rentería Moller";"Unión Demócrata Independiente"
"Hugo Rey Martínez";"Renovación Nacional"
"Luis Rocafull López";"Partido Socialista"
"Camila Rojas Valderrama";"Partido Comunes"
"Leonidas Romero Sáez";"Renovación Nacional"
"Patricio Rosas Barrientos";"Independientes"
"Gastón Saavedra Chandía";"Partido Socialista"
"Jorge Sabag Villalobos";"Partido Demócrata Cristiano"
"René Saffirio Espinoza";"Independientes"
"Raúl Saldívar Auger";"Partido Socialista"
"Gustavo Sanhueza Dueñas";"Unión Demócrata Independiente"
"Juan Santana Castillo";"Partido Socialista"
"Alejandro Santana Tirachini";"Renovación Nacional"
"Marisela Santibáñez Novoa";"Partido Comunista"
"Frank Sauerbaum Muñoz";"Renovación Nacional"
"Diego Schalper Sepúlveda";"Renovación Nacional"
"Marcelo Schilling Rodríguez";"Partido Socialista"
"Alejandra Sepúlveda Orbenes";"Federación Regionalista Verde Social"
"Alexis Sepúlveda Soto";"Partido Radical de Chile"
"Gabriel Silber Romo";"Partido Demócrata Cristiano"
"Leonardo Soto Ferrada";"Partido Socialista"
"Raúl Soto Mardones";"Independientes"
"Guillermo Teillier Del Valle";"Partido Comunista"
"Jaime Tohá González";"Partido Socialista"
"Sebastián Torrealba Alvarado";"Renovación Nacional"
"Víctor Torres Jeldes";"Partido Demócrata Cristiano"
"Renzo Trisotti Martínez";"Unión Demócrata Independiente"
"Virginia Troncoso Hellman";"Independientes"
"Francisco Undurraga Gazitúa";"Evolución Política"
"Ignacio Urrutia Bonilla";"Partido Republicano"
"Osvaldo Urrutia Soto";"Unión Demócrata Independiente"
"Cristóbal Urruticoechea Ríos";"Renovación Nacional"
"Camila Vallejo Dowling";"Partido Comunista"
"Enrique Van Rysselberghe Herrera";"Unión Demócrata Independiente"
"Esteban Velásquez Núñez";"Federación Regionalista Verde Social"
"Pedro Velásquez Seguel";"Independientes"
"Mario Venegas Cárdenas";"Partido Demócrata Cristiano"
"Daniel Verdessi Belemmi";"Partido Demócrata Cristiano"
"Pablo Vidal Rojas";"Independientes"
"Gastón Von Mühlenbrock Zamora";"Unión Demócrata Independiente"
"Matías Walker Prieto";"Partido Demócrata Cristiano"
"Gonzalo Winter Etcheberry";"Partido Convergencia Social"
"Gael Yeomans Araya";"Partido Convergencia Social"
"Jaime Bellolio Avaria";"Unión Demócrata Independiente"
"Mario Desbordes Jiménez";"Renovación Nacional"
"Marcela Sabat Fernández";"Renovación Nacional"
"Hugo Gutiérrez Gálvez";"Partido Comunista"
